quarter,annee,department,departs_confirmes,candidats_en_cours,postes_a_lancer,turnover_month_pct,postes_ouverts_actuels,effectif_actuel
1961Q1,1961,Finance,2,31,0,3.6033333333333335,5,21
1961Q1,1961,IT,6,74,2,4.616666666666666,14,46
1961Q1,1961,Juridique,2,35,1,3.106666666666667,7,24
1961Q1,1961,Marketing,6,63,9,12.26,15,24
1961Q1,1961,Opérations,5,93,24,3.1133333333333333,27,65
1961Q1,1961,R&D,1,77,2,0.94,12,42
1961Q1,1961,RH,0,48,8,0.0,11,24
1961Q1,1961,Support,7,105,24,7.926666666666667,29,42
1961Q1,1961,Ventes,9,16,4,8.103333333333333,7,35
1961Q2,1961,Achats,1,51,4,1.5166666666666666,9,26
1961Q2,1961,Administration,2,44,15,2.1166666666666667,17,37
1961Q2,1961,Finance,1,20,3,1.5166666666666666,6,22
1961Q2,1961,IT,4,85,18,3.0666666666666664,21,53
1961Q2,1961,Juridique,5,31,5,7.446666666666666,9,22
1961Q2,1961,Marketing,2,87,12,2.856666666666667,17,32
1961Q2,1961,Opérations,5,111,5,2.65,19,73
1961Q2,1961,R&D,3,70,11,2.4133333333333336,15,47
1961Q2,1961,RH,6,36,2,8.956666666666667,9,22
1961Q2,1961,Support,4,116,4,3.4500000000000006,20,51
1961Q2,1961,Ventes,4,58,33,3.92,35,36
1961Q3,1961,Achats,1,29,5,1.2566666666666666,9,30
1961Q3,1961,Administration,5,86,10,4.6433333333333335,19,40
1961Q3,1961,Finance,2,20,8,3.1,11,23
1961Q3,1961,IT,11,73,5,7.6866666666666665,18,50
1961Q3,1961,Juridique,1,35,4,1.5166666666666666,9,25
1961Q3,1961,Marketing,5,48,6,5.396666666666666,12,38
1961Q3,1961,Opérations,10,91,32,4.739999999999999,36,78
1961Q3,1961,R&D,3,53,1,2.123333333333333,10,50
1961Q3,1961,RH,1,37,6,1.5866666666666667,11,25
1961Q3,1961,Support,7,56,5,4.68,17,52
1961Q3,1961,Ventes,6,113,2,5.01,18,49
1961Q4,1961,Achats,0,33,7,0.0,11,35
1961Q4,1961,Administration,1,90,2,0.8766666666666666,11,49
1961Q4,1961,Finance,1,34,6,1.55,12,27
1961Q4,1961,IT,6,84,10,4.043333333333334,19,53
1961Q4,1961,Juridique,3,37,6,4.086666666666667,9,28
1961Q4,1961,Marketing,6,89,20,5.686666666666667,24,40
1961Q4,1961,Opérations,14,132,7,6.126666666666666,22,85
1961Q4,1961,R&D,7,39,0,5.006666666666667,7,46
1961Q4,1961,RH,1,51,8,1.3333333333333333,13,30
1961Q4,1961,Support,8,61,0,5.2299999999999995,8,53
1961Q4,1961,Ventes,6,57,7,4.216666666666667,15,53
1962Q1,1962,Achats,3,66,11,2.8233333333333337,14,40
1962Q1,1962,Administration,1,53,10,0.68,17,52
1962Q1,1962,Finance,2,52,7,2.6666666666666665,13,31
1962Q1,1962,IT,1,76,8,0.6166666666666667,19,60
1962Q1,1962,Juridique,1,28,4,1.17,9,31
1962Q1,1962,Marketing,7,125,20,5.6066666666666665,24,53
1962Q1,1962,Opérations,6,61,9,2.3366666666666664,18,92
1962Q1,1962,R&D,4,26,12,2.9966666666666666,17,44
1962Q1,1962,RH,1,50,4,1.0933333333333333,10,36
1962Q1,1962,Support,2,29,0,1.2766666666666666,5,54
1962Q1,1962,Ventes,10,63,26,6.666666666666667,33,51
1962Q2,1962,Achats,2,68,4,1.6500000000000001,11,45
1962Q2,1962,Administration,5,62,1,3.1233333333333335,10,55
1962Q2,1962,Finance,1,52,9,1.0566666666666666,16,36
1962Q2,1962,IT,8,62,2,4.61,13,60
1962Q2,1962,Juridique,5,33,3,5.376666666666666,9,29
1962Q2,1962,Marketing,6,103,10,3.9066666666666663,21,60
1962Q2,1962,Opérations,8,43,3,2.99,12,93
1962Q2,1962,R&D,7,60,11,5.319999999999999,21,44
1962Q2,1962,RH,2,42,0,1.8133333333333335,6,38
1962Q2,1962,Support,4,17,2,2.5433333333333334,6,51
1962Q2,1962,Ventes,8,141,4,5.523333333333333,20,60
1962Q3,1962,Achats,6,64,16,4.556666666666667,17,49
1962Q3,1962,Administration,1,38,3,0.6,8,59
1962Q3,1962,Finance,2,59,10,1.71,19,41
1962Q3,1962,IT,3,73,20,1.6733333333333331,26,64
1962Q3,1962,Juridique,2,32,4,2.38,7,33
1962Q3,1962,Marketing,5,55,4,2.9966666666666666,12,68
1962Q3,1962,Opérations,8,35,1,2.953333333333333,7,91
1962Q3,1962,R&D,7,102,14,5.453333333333333,23,49
1962Q3,1962,RH,4,20,5,3.7066666666666666,9,36
1962Q3,1962,Support,5,18,2,3.39,6,48
1962Q3,1962,Ventes,13,71,3,7.94,13,57
1962Q4,1962,Achats,4,85,19,2.5833333333333335,23,58
1962Q4,1962,Administration,2,49,10,1.1433333333333333,11,64
1962Q4,1962,Finance,7,68,1,6.0633333333333335,10,44
1962Q4,1962,IT,10,86,7,5.4366666666666665,23,64
1962Q4,1962,Juridique,2,41,6,2.0966666666666667,9,35
1962Q4,1962,Marketing,4,45,3,1.9900000000000002,9,70
1962Q4,1962,Opérations,14,96,31,5.4799999999999995,27,88
1962Q4,1962,R&D,6,73,0,4.183333333333334,15,51
1962Q4,1962,RH,5,48,6,4.916666666666667,11,35
1962Q4,1962,Support,7,93,44,5.16,37,54
1962Q4,1962,Ventes,5,64,45,3.0733333333333337,45,65
1963Q1,1963,Achats,5,94,1,2.91,13,64
1963Q1,1963,Administration,6,46,1,3.3166666666666664,8,62
1963Q1,1963,Finance,2,44,2,1.5333333333333332,8,46
1963Q1,1963,IT,8,107,19,4.293333333333334,30,68
1963Q1,1963,Juridique,4,34,3,3.953333333333333,8,35
1963Q1,1963,Marketing,4,54,11,1.9400000000000002,12,74
1963Q1,1963,Opérations,9,87,27,3.466666666666667,39,94
1963Q1,1963,R&D,5,49,4,3.36,13,52
1963Q1,1963,RH,3,30,0,2.793333333333333,6,37
1963Q1,1963,Support,2,138,12,1.18,28,73
1963Q1,1963,Ventes,14,161,3,6.9366666666666665,22,77
1963Q2,1963,Achats,4,47,1,2.08,9,65
1963Q2,1963,Administration,4,23,0,2.223333333333333,5,61
1963Q2,1963,Finance,5,60,16,3.77,17,48
1963Q2,1963,IT,8,107,1,3.9933333333333336,18,73
1963Q2,1963,Juridique,2,31,3,1.99,8,36
1963Q2,1963,Marketing,9,59,11,4.3,14,74
1963Q2,1963,Opérations,14,134,6,5.026666666666667,26,99
1963Q2,1963,R&D,5,78,12,3.3200000000000003,18,54
1963Q2,1963,RH,1,28,2,0.8766666666666666,6,38
1963Q2,1963,Support,5,113,1,2.256666666666667,17,80
1963Q2,1963,Ventes,14,108,15,6.396666666666666,18,82
1963Q3,1963,Achats,4,41,11,2.066666666666667,12,69
1963Q3,1963,Administration,6,11,1,3.4499999999999997,5,56
1963Q3,1963,Finance,5,67,1,3.633333333333333,12,49
1963Q3,1963,IT,14,90,18,6.763333333333333,23,72
1963Q3,1963,Juridique,3,27,1,2.83,6,36
1963Q3,1963,Marketing,12,37,0,5.8,7,69
1963Q3,1963,Opérations,9,95,3,3.0933333333333333,17,102
1963Q3,1963,R&D,3,60,6,1.8800000000000001,17,58
1963Q3,1963,RH,3,36,6,2.6666666666666665,7,40
1963Q3,1963,Support,11,47,1,4.696666666666666,9,78
1963Q3,1963,Ventes,14,46,2,5.993333333333333,10,78
1963Q4,1963,Achats,4,42,2,2.0500000000000003,8,71
1963Q4,1963,Administration,2,26,7,1.2,9,57
1963Q4,1963,Finance,3,47,4,2.033333333333333,10,52
1963Q4,1963,IT,9,95,17,4.3566666666666665,32,71
1963Q4,1963,Juridique,2,23,3,1.8533333333333333,6,37
1963Q4,1963,Marketing,9,46,12,4.463333333333333,11,68
1963Q4,1963,Opérations,18,59,3,6.383333333333333,13,91
1963Q4,1963,R&D,5,75,5,2.9633333333333334,14,61
1963Q4,1963,RH,2,26,3,1.7,6,42
1963Q4,1963,Support,8,31,1,3.5733333333333337,7,73
1963Q4,1963,Ventes,12,33,0,5.543333333333333,6,70
1964Q1,1964,Achats,5,33,7,2.436666666666667,11,70
1964Q1,1964,Administration,1,26,1,0.58,6,60
1964Q1,1964,Finance,6,36,5,3.9599999999999995,10,51
1964Q1,1964,IT,15,110,20,7.510000000000001,37,71
1964Q1,1964,Juridique,2,25,2,1.8266666666666669,6,37
1964Q1,1964,Marketing,6,44,10,2.996666666666666,12,71
1964Q1,1964,Opérations,5,102,23,1.8266666666666669,24,98
1964Q1,1964,R&D,12,61,5,7.256666666666667,14,54
1964Q1,1964,RH,4,30,10,3.3233333333333337,13,41
1964Q1,1964,Support,6,34,5,2.8466666666666662,8,71
1964Q1,1964,Ventes,10,19,11,5.1000000000000005,15,62
1964Q2,1964,Achats,4,36,1,1.8800000000000001,7,71
1964Q2,1964,Administration,5,35,9,2.85,11,59
1964Q2,1964,Finance,1,38,5,0.63,11,54
1964Q2,1964,IT,12,133,6,5.8999999999999995,25,77
1964Q2,1964,Juridique,1,30,1,0.8766666666666666,4,39
1964Q2,1964,Marketing,6,50,1,2.9299999999999997,7,71
1964Q2,1964,Opérations,6,172,22,2.0866666666666664,27,111
1964Q2,1964,R&D,5,59,6,3.126666666666667,13,56
1964Q2,1964,RH,1,44,0,0.7666666666666666,8,45
1964Q2,1964,Support,10,29,4,5.036666666666666,7,66
1964Q2,1964,Ventes,8,107,27,4.263333333333333,23,73
1964Q3,1964,Achats,1,20,2,0.4766666666666666,6,73
1964Q3,1964,Administration,6,72,11,3.53,15,60
1964Q3,1964,Finance,4,46,8,2.4766666666666666,12,57
1964Q3,1964,IT,12,121,18,5.533333333333334,32,76
1964Q3,1964,Juridique,1,22,4,0.8766666666666666,6,40
1964Q3,1964,Marketing,11,35,6,5.563333333333333,10,63
1964Q3,1964,Opérations,13,156,26,4.0200000000000005,29,122
1964Q3,1964,R&D,7,55,14,4.416666666666667,22,54
1964Q3,1964,RH,3,25,3,2.2466666666666666,8,45
1964Q3,1964,Support,7,64,24,3.6633333333333336,25,65
1964Q3,1964,Ventes,9,79,1,4.3933333333333335,11,77
1964Q4,1964,Achats,6,18,0,2.84,4,69
1964Q4,1964,Administration,4,61,3,2.3000000000000003,10,64
1964Q4,1964,Finance,4,52,4,2.4033333333333333,9,60
1964Q4,1964,IT,15,116,6,6.96,24,75
1964Q4,1964,Juridique,1,19,3,0.8333333333333334,6,42
1964Q4,1964,Marketing,3,64,9,1.5966666666666667,12,67
1964Q4,1964,Opérations,17,108,11,4.906666666666666,23,122
1964Q4,1964,R&D,4,114,23,2.453333333333333,35,60
1964Q4,1964,RH,3,31,5,2.2733333333333334,10,45
1964Q4,1964,Support,9,79,3,4.763333333333334,15,69
1964Q4,1964,Ventes,15,78,25,7.13,28,70
1965Q1,1965,Achats,6,14,0,3.0333333333333337,4,63
1965Q1,1965,Administration,1,38,2,0.5066666666666667,7,68
1965Q1,1965,Finance,3,39,10,1.72,14,62
1965Q1,1965,IT,12,86,17,5.593333333333334,29,75
1965Q1,1965,Juridique,3,29,8,2.4600000000000004,11,42
1965Q1,1965,Marketing,10,50,9,5.223333333333334,13,65
1965Q1,1965,Opérations,16,95,4,4.543333333333334,15,118
1965Q1,1965,R&D,4,158,9,2.27,27,73
1965Q1,1965,RH,1,38,9,0.7566666666666667,14,49
1965Q1,1965,Support,14,124,20,7.109999999999999,22,68
1965Q1,1965,Ventes,14,98,0,7.09,16,68
1965Q2,1965,Achats,7,29,8,3.8733333333333335,9,59
1965Q2,1965,Administration,4,28,0,1.9833333333333334,4,67
1965Q2,1965,Finance,5,60,4,2.7366666666666664,12,63
1965Q2,1965,IT,8,92,13,3.7466666666666666,29,80
1965Q2,1965,Juridique,3,43,9,2.4,13,46
1965Q2,1965,Marketing,6,80,11,3.1133333333333333,15,68
1965Q2,1965,Opérations,13,51,5,3.853333333333333,12,113
1965Q2,1965,R&D,7,84,0,3.1366666666666667,15,78
1965Q2,1965,RH,8,56,8,5.78,16,47
1965Q2,1965,Support,4,76,3,1.9466666666666665,13,76
1965Q2,1965,Ventes,8,58,10,4.036666666666666,17,69
1965Q3,1965,Achats,5,32,5,2.9233333333333333,11,57
1965Q3,1965,Administration,4,34,9,2.0500000000000003,9,67
1965Q3,1965,Finance,4,54,7,2.19,13,65
1965Q3,1965,IT,13,97,14,5.503333333333333,30,80
1965Q3,1965,Juridique,5,42,0,3.6166666666666667,7,47
1965Q3,1965,Marketing,11,47,3,5.753333333333334,10,65
1965Q3,1965,Opérations,16,39,3,5.026666666666666,8,104
1965Q3,1965,R&D,8,50,4,3.526666666666667,13,76
1965Q3,1965,RH,5,53,6,3.6366666666666667,14,50
1965Q3,1965,Support,9,46,8,4.193333333333333,13,75
1965Q3,1965,Ventes,9,56,6,4.69,16,67
1965Q4,1965,Achats,2,41,3,1.1666666666666667,11,58
1965Q4,1965,Administration,4,35,10,2.0033333333333334,15,67
1965Q4,1965,Finance,2,68,12,1.0666666666666667,17,71
1965Q4,1965,IT,18,101,6,8.033333333333333,21,77
1965Q4,1965,Juridique,2,25,6,1.4800000000000002,9,49
1965Q4,1965,Marketing,5,52,13,2.5633333333333335,15,68
1965Q4,1965,Opérations,10,31,2,3.3766666666666665,6,98
1965Q4,1965,R&D,5,49,1,2.2433333333333336,10,75
1965Q4,1965,RH,9,48,6,6.353333333333333,12,49
1965Q4,1965,Support,10,40,1,4.74,9,70
1965Q4,1965,Ventes,10,67,5,5.103333333333333,12,66
1966Q1,1966,Achats,4,36,8,2.3933333333333335,16,57
1966Q1,1966,Administration,5,71,6,2.49,12,71
1966Q1,1966,Finance,9,85,11,4.293333333333333,15,75
1966Q1,1966,IT,11,111,15,5.03,23,79
1966Q1,1966,Juridique,4,36,2,2.793333333333333,6,50
1966Q1,1966,Marketing,5,104,22,2.483333333333333,26,74
1966Q1,1966,Opérations,12,29,7,4.326666666666667,9,90
1966Q1,1966,R&D,6,52,11,2.7466666666666666,14,76
1966Q1,1966,RH,8,47,7,5.753333333333333,13,47
1966Q1,1966,Support,9,59,13,4.456666666666667,13,70
1966Q1,1966,Ventes,12,40,4,6.463333333333334,10,60
1966Q2,1966,Achats,2,56,8,1.16,17,62
1966Q2,1966,Administration,2,47,4,0.9499999999999998,10,75
1966Q2,1966,Finance,5,58,10,2.33,17,78
1966Q2,1966,IT,7,99,5,2.98,18,82
1966Q2,1966,Juridique,2,23,2,1.3533333333333335,6,50
1966Q2,1966,Marketing,9,90,6,4.133333333333334,17,80
1966Q2,1966,Opérations,9,34,5,3.4600000000000004,9,86
1966Q2,1966,R&D,13,85,11,6.1066666666666665,17,71
1966Q2,1966,RH,6,60,7,4.476666666666667,14,47
1966Q2,1966,Support,5,55,2,2.493333333333333,10,70
1966Q2,1966,Ventes,13,34,5,8.003333333333334,10,52
1966Q3,1966,Achats,8,74,8,4.483333333333333,17,62
1966Q3,1966,Administration,7,50,10,3.23,13,75
1966Q3,1966,Finance,4,67,4,1.6933333333333334,11,84
1966Q3,1966,IT,11,64,2,4.723333333333334,13,78
1966Q3,1966,Juridique,4,17,0,2.77,4,48
1966Q3,1966,Marketing,8,57,15,3.5500000000000003,25,79
1966Q3,1966,Opérations,13,52,19,5.423333333333333,22,79
1966Q3,1966,R&D,6,62,10,2.83,18,74
1966Q3,1966,RH,1,37,3,0.6466666666666666,10,53
1966Q3,1966,Support,3,28,2,1.42,8,71
1966Q3,1966,Ventes,4,32,4,2.5833333333333335,8,54
1966Q4,1966,Achats,5,52,5,2.7133333333333334,12,67
1966Q4,1966,Administration,4,54,2,1.78,9,77
1966Q4,1966,Finance,6,46,2,2.4333333333333336,8,83
1966Q4,1966,IT,13,40,2,6.016666666666667,11,69
1966Q4,1966,Juridique,2,15,1,1.42,5,46
1966Q4,1966,Marketing,10,103,6,4.366666666666667,19,81
1966Q4,1966,Opérations,10,71,3,4.1866666666666665,13,81
1966Q4,1966,R&D,6,70,1,2.823333333333333,13,74
1966Q4,1966,RH,3,40,7,1.9133333333333333,12,55
1966Q4,1966,Support,11,28,5,5.510000000000001,9,64
1966Q4,1966,Ventes,6,28,3,3.8599999999999994,8,51
1967Q1,1967,Achats,4,62,13,2.006666666666667,18,70
1967Q1,1967,Administration,5,32,10,2.2066666666666666,15,76
1967Q1,1967,Finance,4,29,4,1.6333333333333335,9,82
1967Q1,1967,IT,6,78,22,3.0033333333333334,23,73
1967Q1,1967,Juridique,2,20,5,1.4733333333333334,7,47
1967Q1,1967,Marketing,15,65,12,6.636666666666667,19,78
1967Q1,1967,Opérations,13,104,21,5.626666666666668,19,83
1967Q1,1967,R&D,1,44,10,0.4466666666666667,18,78
1967Q1,1967,RH,4,42,5,2.47,10,58
1967Q1,1967,Support,7,39,3,3.813333333333333,7,62
1967Q1,1967,Ventes,13,57,28,9.656666666666666,31,43
1967Q2,1967,Achats,2,77,13,0.93,19,80
1967Q2,1967,Administration,7,48,3,3.19,12,75
1967Q2,1967,Finance,7,53,8,2.9266666666666663,11,81
1967Q2,1967,IT,12,79,8,5.84,21,71
1967Q2,1967,Juridique,2,29,0,1.42,5,47
1967Q2,1967,Marketing,8,100,8,3.5533333333333332,15,82
1967Q2,1967,Opérations,10,78,4,4.2,14,82
1967Q2,1967,R&D,9,114,16,4.04,24,79
1967Q2,1967,RH,6,48,8,3.6033333333333335,11,59
1967Q2,1967,Support,3,24,17,1.6366666666666667,22,61
1967Q2,1967,Ventes,8,148,15,6.043333333333333,28,53
1967Q3,1967,Achats,8,65,3,3.436666666666667,14,80
1967Q3,1967,Administration,6,43,5,2.763333333333333,10,76
1967Q3,1967,Finance,5,30,1,2.066666666666667,7,81
1967Q3,1967,IT,6,104,18,2.91,24,80
1967Q3,1967,Juridique,4,14,0,2.9333333333333336,4,44
1967Q3,1967,Marketing,13,57,3,5.613333333333333,11,76
1967Q3,1967,Opérations,9,46,0,3.7900000000000005,8,79
1967Q3,1967,R&D,11,71,7,4.8,21,78
1967Q3,1967,RH,6,58,8,3.5400000000000005,13,59
1967Q3,1967,Support,11,75,12,6.25,23,61
1967Q3,1967,Ventes,14,83,3,8.99,13,57
1967Q4,1967,Achats,1,43,3,0.39666666666666667,9,87
1967Q4,1967,Administration,3,36,14,1.3166666666666667,19,78
1967Q4,1967,Finance,5,26,7,2.0833333333333335,10,80
1967Q4,1967,IT,14,81,2,6.206666666666667,17,75
1967Q4,1967,Juridique,2,13,0,1.55,3,43
1967Q4,1967,Marketing,7,83,33,3.09,30,83
1967Q4,1967,Opérations,5,31,7,2.1333333333333333,9,80
1967Q4,1967,R&D,6,83,10,2.566666666666667,23,80
1967Q4,1967,RH,3,49,5,1.6733333333333331,11,63
1967Q4,1967,Support,3,84,25,1.6533333333333333,37,69
1967Q4,1967,Ventes,10,94,49,6.033333333333334,44,65
1968Q1,1968,Achats,5,40,8,1.9533333333333331,12,87
1968Q1,1968,Administration,7,78,8,3.0233333333333334,16,82
1968Q1,1968,Finance,7,41,6,3.01,11,78
1968Q1,1968,IT,11,49,14,5.183333333333334,23,72
1968Q1,1968,Juridique,0,18,2,0.0,3,45
1968Q1,1968,Marketing,13,109,6,5.383333333333333,19,87
1968Q1,1968,Opérations,15,28,4,6.783333333333334,8,70
1968Q1,1968,R&D,2,94,2,0.8300000000000001,18,85
1968Q1,1968,RH,11,55,5,6.233333333333333,9,59
1968Q1,1968,Support,11,125,7,5.176666666666667,25,77
1968Q1,1968,Ventes,16,166,26,8.42,42,77
1968Q2,1968,Achats,5,51,5,1.9433333333333334,11,88
1968Q2,1968,Administration,7,55,0,2.89,9,82
1968Q2,1968,Finance,10,49,6,4.483333333333333,12,73
1968Q2,1968,IT,12,116,26,5.973333333333334,36,73
1968Q2,1968,Juridique,4,21,5,3.11,7,42
1968Q2,1968,Marketing,12,99,16,4.8,26,84
1968Q2,1968,Opérations,4,24,6,1.9333333333333333,11,69
1968Q2,1968,R&D,8,81,2,3.2433333333333336,13,84
1968Q2,1968,RH,6,45,4,3.5733333333333337,8,58
1968Q2,1968,Support,7,78,1,2.986666666666667,14,82
1968Q2,1968,Ventes,11,175,14,4.989999999999999,36,86
1968Q3,1968,Achats,4,39,8,1.5599999999999998,15,88
1968Q3,1968,Administration,4,38,4,1.6266666666666667,7,84
1968Q3,1968,Finance,5,43,6,2.34,12,74
1968Q3,1968,IT,17,81,4,8.263333333333334,25,71
1968Q3,1968,Juridique,3,27,6,2.46,10,42
1968Q3,1968,Marketing,16,92,5,6.753333333333333,19,80
1968Q3,1968,Opérations,11,93,25,5.72,26,68
1968Q3,1968,R&D,4,50,10,1.5999999999999999,17,86
1968Q3,1968,RH,3,26,0,1.74,5,58
1968Q3,1968,Support,5,42,4,2.0233333333333334,12,83
1968Q3,1968,Ventes,15,93,1,5.986666666666667,22,86
1968Q4,1968,Achats,7,69,4,2.7300000000000004,10,90
1968Q4,1968,Administration,7,26,7,2.8666666666666667,9,82
1968Q4,1968,Finance,4,41,5,1.8133333333333335,10,77
1968Q4,1968,IT,10,82,4,5.0,19,71
1968Q4,1968,Juridique,3,39,5,2.3333333333333335,10,44
1968Q4,1968,Marketing,14,67,1,6.16,10,76
1968Q4,1968,Opérations,9,78,19,4.636666666666667,34,70
1968Q4,1968,R&D,8,63,3,3.233333333333334,15,83
1968Q4,1968,RH,3,23,5,1.7533333333333332,7,58
1968Q4,1968,Support,9,45,10,3.716666666666667,14,82
1968Q4,1968,Ventes,11,80,4,4.34,13,88
1969Q1,1969,Achats,4,37,8,1.4900000000000002,12,92
1969Q1,1969,Administration,6,36,6,2.52,9,82
1969Q1,1969,Finance,3,48,16,1.29,20,80
1969Q1,1969,IT,7,84,5,3.34,15,73
1969Q1,1969,Juridique,3,31,4,2.2666666666666666,9,46
1969Q1,1969,Marketing,5,35,1,2.263333333333333,7,75
1969Q1,1969,Opérations,5,114,6,2.4,23,82
1969Q1,1969,R&D,8,50,11,3.3333333333333335,21,80
1969Q1,1969,RH,5,30,1,3.016666666666667,5,56
1969Q1,1969,Support,7,95,22,2.92,22,89
1969Q1,1969,Ventes,14,111,22,5.733333333333333,22,87
1969Q2,1969,Achats,12,47,6,4.586666666666667,13,85
1969Q2,1969,Administration,8,34,9,3.4466666666666668,15,77
1969Q2,1969,Finance,8,89,5,3.4333333333333336,13,84
1969Q2,1969,IT,10,84,16,4.8,24,70
1969Q2,1969,Juridique,4,37,4,2.9600000000000004,9,46
1969Q2,1969,Marketing,8,30,3,3.7566666666666664,7,70
1969Q2,1969,Opérations,13,87,9,5.446666666666666,19,82
1969Q2,1969,R&D,11,118,17,4.743333333333333,25,82
1969Q2,1969,RH,6,24,4,3.763333333333333,6,53
1969Q2,1969,Support,12,90,4,4.71,14,89
1969Q2,1969,Ventes,10,123,20,3.9766666666666666,28,91
1969Q3,1969,Achats,6,54,8,2.3666666666666667,13,87
1969Q3,1969,Administration,4,63,9,1.71,14,83
1969Q3,1969,Finance,8,33,0,3.2933333333333334,7,82
1969Q3,1969,IT,12,88,11,5.976666666666667,26,67
1969Q3,1969,Juridique,3,38,5,2.2733333333333334,10,47
1969Q3,1969,Marketing,6,23,5,2.98,9,67
1969Q3,1969,Opérations,6,90,17,2.36,19,93
1969Q3,1969,R&D,6,86,2,2.5066666666666664,16,87
1969Q3,1969,RH,5,37,8,3.266666666666667,11,51
1969Q3,1969,Support,13,61,4,5.22,13,81
1969Q3,1969,Ventes,16,70,0,6.306666666666666,15,88
1969Q4,1969,Achats,8,45,2,3.186666666666666,9,85
1969Q4,1969,Administration,8,56,6,3.3800000000000003,14,81
1969Q4,1969,Finance,9,28,11,3.8433333333333337,15,76
1969Q4,1969,IT,2,107,21,1.0266666666666666,36,76
1969Q4,1969,Juridique,3,39,0,2.1133333333333333,5,49
1969Q4,1969,Marketing,8,62,10,4.206666666666667,12,66
1969Q4,1969,Opérations,12,81,2,4.543333333333333,14,88
1969Q4,1969,R&D,10,46,6,3.9933333333333336,16,83
1969Q4,1969,RH,4,39,3,2.64,8,53
1969Q4,1969,Support,10,49,4,4.286666666666666,12,76
1969Q4,1969,Ventes,12,49,25,4.84,32,84
1970Q1,1970,Achats,4,60,21,1.58,21,90
1970Q1,1970,Administration,5,77,9,2.1199999999999997,15,84
1970Q1,1970,Finance,7,58,2,3.143333333333333,12,74
1970Q1,1970,IT,11,162,8,4.9433333333333325,29,80
1970Q1,1970,Juridique,1,21,4,0.6666666666666666,6,51
1970Q1,1970,Marketing,9,53,5,4.726666666666667,9,65
1970Q1,1970,Opérations,7,88,20,2.706666666666667,23,92
1970Q1,1970,R&D,8,59,5,3.3000000000000003,14,82
1970Q1,1970,RH,3,46,10,1.92,13,55
1970Q1,1970,Support,9,42,4,4.116666666666666,10,73
1970Q1,1970,Ventes,11,150,9,4.453333333333333,27,87
1970Q2,1970,Achats,9,59,6,3.4066666666666667,15,93
1970Q2,1970,Administration,2,53,2,0.8033333333333333,9,90
1970Q2,1970,Finance,4,63,12,1.86,16,78
1970Q2,1970,IT,5,133,3,2.1133333333333333,20,87
